,start_station_id,start_station_name,lat,lon,bike_counts
0,30200,9th St & Pennsylvania Ave NW,38.894266418336144,-77.02397925870821,161
1,30201,9th & G St NW,38.898107546132465,-77.0239301659898,158
2,31000,Eads St & 15th St S,38.85896897754372,-77.05323816275462,68
3,31002,Crystal Dr & 20th St S,38.856415294692255,-77.0492360143707,96
4,31003,Crystal Dr & 15th St S,38.86104805261565,-77.04941218812463,103
5,31004,Aurora Hills Cmty Ctr / 18th St & S Hayes St,38.857866684674754,-77.05948989266916,38
6,31005,Pentagon City Metro / 12th St & S Hayes St,38.8622899867152,-77.05993570390171,134
7,31006,Army Navy Dr & S Joyce St,38.86331349701495,-77.06341170402293,81
8,31006,Pentagon Row Plaza / Army Navy Dr & Joyce St,38.86331512104193,-77.0634162434912,60
9,31007,Crystal City Metro / 18th St & S Bell St,38.85776644172304,-77.05169178037575,135
10,31009,Crystal Dr & 27th St S,38.84845429801152,-77.05149123802086,53
11,31010,S Glebe Rd & Potomac Ave,38.842603652626025,-77.05020637969258,55
12,31011,Crystal Dr & 23rd St S,38.85292995817102,-77.04972156705962,79
13,31012,Clark St & 26th St S,38.85067467125154,-77.05153054693606,25
14,31013,Eads St & 22nd St S,38.85438096359067,-77.05341198028381,64
15,31014,19th St N & Ft Myer Dr,38.89719822824396,-77.07212542681589,68
16,31014,Lynn St & 19th St North,38.89734123671085,-77.07095166784205,112
17,31015,Wilson Blvd & Ft Myer Dr,38.894602471085456,-77.07228854700783,60
18,31016,Clarendon Blvd & Pierce St,38.89344727564391,-77.07636502115972,65
19,31017,Wilson Blvd & N Uhle St,38.891702358474255,-77.08459870082676,58
20,31018,Rhodes St & 16th St N,38.892167592660925,-77.07937688450015,30
21,31019,Wilson Blvd & N Edgewood St,38.88939551811117,-77.09185962387177,66
22,31020,Wilson Blvd & N Franklin Rd,38.89040469004132,-77.08889831076397,54
23,31021,Clarendon Blvd & N Fillmore St,38.88809532707775,-77.09308731706867,62
24,31022,Clarendon Metro / Wilson Blvd & N Highland St,38.8870118000088,-77.09525677834313,166
25,31023,Fairfax Dr & Wilson Blvd,38.8858091579351,-77.09772319695125,51
26,31024,Virginia Square Metro / Monroe St & 9th St N,38.88278267640728,-77.10316550740876,102
27,31025,Central Library / Quincy St & 10th St N,38.88397272808395,-77.10782656404605,49
