,start_station_id,start_station_name,lat,lon,bike_counts
0,30200,9th St & Pennsylvania Ave NW,38.894266384542,-77.02397895078562,710
1,30201,9th & G St NW,38.89810737724417,-77.02392992974093,696
2,31000,Eads St & 15th St S,38.85896891835677,-77.05323829576703,294
3,31002,Crystal Dr & 20th St S,38.85641545199431,-77.04923589036997,416
4,31003,Crystal Dr & 15th St S,38.86104808393263,-77.04941230535991,457
5,31004,Aurora Hills Cmty Ctr / 18th St & S Hayes St,38.85786667827558,-77.05948976187777,168
6,31005,Pentagon City Metro / 12th St & S Hayes St,38.86228988090934,-77.05993571686793,582
7,31006,Army Navy Dr & S Joyce St,38.86331413646929,-77.06341266711884,336
8,31006,Pentagon Row Plaza / Army Navy Dr & Joyce St,38.86331529636813,-77.06341615089835,257
9,31007,Crystal City Metro / 18th St & S Bell St,38.857766177307596,-77.05169184157582,603
10,31009,Crystal Dr & 27th St S,38.84845437728281,-77.05149172850862,232
11,31010,S Glebe Rd & Potomac Ave,38.84260352516461,-77.05020634349711,236
12,31011,Crystal Dr & 23rd St S,38.85292998076607,-77.04972158765953,342
13,31012,Clark St & 26th St S,38.850675484414275,-77.05153030043311,110
14,31013,Eads St & 22nd St S,38.85438089314453,-77.05341202677434,277
15,31014,19th St N & Ft Myer Dr,38.897197518458114,-77.07212509917433,279
16,31014,Lynn St & 19th St North,38.89734187206808,-77.07095044695501,478
17,31015,Wilson Blvd & Ft Myer Dr,38.89460264196962,-77.07228810132555,272
18,31016,Clarendon Blvd & Pierce St,38.893446992929796,-77.07636565488555,290
19,31017,Wilson Blvd & N Uhle St,38.891702192681755,-77.08459866777783,250
20,31018,Rhodes St & 16th St N,38.892167807785704,-77.07937719577878,133
21,31019,Wilson Blvd & N Edgewood St,38.88939548436229,-77.09185947457847,287
22,31020,Wilson Blvd & N Franklin Rd,38.89040451191692,-77.0888983323587,234
23,31021,Clarendon Blvd & N Fillmore St,38.888095400707435,-77.09308751145299,269
24,31022,Clarendon Metro / Wilson Blvd & N Highland St,38.887011814994885,-77.09525677131799,719
25,31023,Fairfax Dr & Wilson Blvd,38.885807141069954,-77.09773065736782,229
26,31024,Virginia Square Metro / Monroe St & 9th St N,38.882782638493744,-77.10316576525248,454
27,31025,Central Library / Quincy St & 10th St N,38.88397273601164,-77.10782656147423,213
28,31026,Washington Blvd & 10th St N,38.884731175510545,-77.09348708446483,261
29,31027,Wilson Blvd & N Quinn St,38.894000077915564,-77.07858070474049,354
30,31028,N Veitch St & Key Blvd,38.89323632334211,-77.0860611877419,71
31,31029,N Veitch St & 20th St N,38.89693347738678,-77.08649075690043,154
32,31030,Langston Blvd & N Adams St,38.89593703491274,-77.08900238953507,375
33,31031,15th St & N Scott St,38.890538817429444,-77.08094064083794,196
34,31032,Washington Blvd & 7th St N,38.880809540786274,-77.09078584919945,121
35,31033,Barcroft Community Center,38.85033854987964,-77.10098711750311,72
36,31034,Fairfax Dr & N Randolph St,38.88262458251549,-77.109373994704,222
37,31035,N Quincy St & Glebe Rd,38.876386343536794,-77.10772507495726,140
38,31036,George Mason Dr & Wilson Blvd,38.878867727870634,-77.12069677257531,161
39,31037,Ballston Metro / Stuart St & 9th St N,38.881043600460345,-77.11177136626779,514
40,31038,Glebe Rd & 11th St N,38.88392667438111,-77.11681655583472,131
41,31039,Wilson Blvd & N Quincy St,38.87999320340508,-77.10784097941159,363
42,31040,GMU / Fairfax Dr & Kenmore St,38.88461690822346,-77.10107627974368,102
43,31040,GMU/Fairfax Dr & Kenmore St,38.88469138478712,-77.10034281683211,165
44,31041,Prince St & Union St,38.8031215127668,-77.04035431098639,290
45,31042,Market Square / King St & Royal St,38.80471708109414,-77.04335744831735,245
46,31043,St Asaph & Pendleton St,38.81074276786954,-77.04462650590631,133
47,31044,King St & Patrick St,38.80531233184663,-77.04988861951624,150
48,31045,Commerce St & Fayette St,38.80564799276844,-77.05292991503492,106
49,31046,Henry St & Pendleton St,38.81145706156199,-77.05027112046463,77
50,31047,Braddock Rd Metro,38.81457112962963,-77.05280860493828,27
51,31047,Braddock Rd Metro North,38.81457445467677,-77.05280880507114,124
52,31048,King St Metro South,38.80576604286603,-77.06065238328412,158
53,31049,Fairfax Dr & N Taylor St,38.88240835665247,-77.11275857266725,146
54,31049,Utah St & 11th St N,38.88367178726521,-77.11390647778433,87
55,31050,Barton St & 10th St N,38.88498699161995,-77.08778858447405,90
56,31051,Arlington Blvd & N Queen St,38.889361123990874,-77.07729704755447,168
57,31052,Potomac Ave & 35th St S,38.84401052796276,-77.05052940857487,168
58,31053,Columbia Pike & S Courthouse Rd,38.86386172464564,-77.08032249137777,117
59,31054,Wakefield High School,38.84713564937804,-77.1125427981382,98
60,31055,28th St & S Meade St,38.84623022630186,-77.06928751500926,120
61,31056,S Troy St & 26th St S,38.84798679806156,-77.07511224466283,62
62,31056,Troy St & 26th St S,38.847982956714084,-77.07511136021368,64
63,31057,Four Mile Run Dr & S Shirlington Rd,38.844400282657205,-77.08592888156691,52
64,31057,S Four Mile Run Dr & Shirlington Rd,38.84440106297676,-77.08592883871654,55
65,31058,Columbia Pike & Monroe St,38.86033687206538,-77.09369225792996,80
66,31058,Columbia Pike & S Oakland St,38.860784159307066,-77.09586484578804,16
67,31059,Four Mile Run Dr & S Walter Reed Dr,38.84735653489847,-77.09542254868758,46
68,31059,S Four Mile Run Dr & Walter Reed Dr,38.847356358904804,-77.09542294904459,62
69,31060,S Arlington Mill Dr & Campbell Ave,38.842319769576825,-77.0895570693426,190
